epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.523,1.40863,3.65643,1.68838,0.00333,1,0.93619,0.65965,1.24645,3.45342,1.27868,0.00016,0.00016,0.00016
2,153.314,0.82413,2.81853,1.04881,0.00333,1,0.995,0.77566,0.61965,3.14517,0.98989,0.00030634,0.00030634,0.00030634
3,199.628,0.80624,2.13878,1.08565,0.00333,1,0.995,0.73207,0.61975,3.0674,1.00139,0.00041704,0.00041704,0.00041704
4,236.694,0.79254,1.89448,1.06004,0.95103,1,0.995,0.75047,0.70181,2.87832,1.09311,0.0004921,0.0004921,0.0004921
5,272.826,0.74991,1.67552,0.99019,0.98687,1,0.995,0.78596,0.57986,2.62481,1.05081,0.00053152,0.00053152,0.00053152
6,309.343,0.81246,1.5517,1.01461,0.9803,1,0.995,0.78586,0.56144,2.41078,1.07174,0.0005353,0.0005353,0.0005353
7,344.974,0.76207,1.55391,1.00182,0.96992,0.94118,0.99222,0.78728,0.77132,2.64642,1.08532,0.00050344,0.00050344,0.00050344
8,382.667,0.76776,1.49848,1.0316,0.9433,0.97939,0.98889,0.75609,0.5249,2.29903,1.01091,0.00043594,0.00043594,0.00043594
9,420.471,0.7405,1.50367,0.96125,0.97513,1,0.995,0.82004,0.59704,2.18769,1.012,0.0003328,0.0003328,0.0003328
10,454.625,0.66791,1.42185,0.93981,0.9895,1,0.995,0.81013,0.59297,2.03828,1.01325,0.00019402,0.00019402,0.00019402
