epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.383,1.70233,1.81508,1.08236,0.02732,0.99177,0.40975,0.22074,1.50107,2.756,1.04918,0.000653333,0.000653333,0.000653333
2,327.199,1.58865,1.06176,1.06602,0.97421,0.88477,0.94535,0.48933,1.57731,1.61206,1.11296,0.00118932,0.00118932,0.00118932
3,473.345,1.5813,1.00186,1.07568,0.97091,0.9616,0.97866,0.51239,1.47194,1.03472,1.12886,0.00159331,0.00159331,0.00159331
4,646.745,1.51129,0.92323,1.05473,0.99965,0.98354,0.99337,0.55905,1.33589,0.85913,1.07994,0.001406,0.001406,0.001406
5,801.856,1.47193,0.87035,1.03368,1,0.98633,0.99492,0.57417,1.28252,0.84464,1.07018,0.001208,0.001208,0.001208
6,955.945,1.45505,0.82828,1.03134,0.99989,0.98354,0.99488,0.56025,1.39919,0.7829,1.10293,0.00101,0.00101,0.00101
7,1114.93,1.41335,0.79842,1.01725,1,0.99054,0.995,0.5737,1.21682,0.72525,1.06281,0.000812,0.000812,0.000812
8,1269.45,1.36546,0.7672,1.00528,1,0.99137,0.995,0.56731,1.2448,0.67797,1.05202,0.000614,0.000614,0.000614
9,1445.52,1.34078,0.75491,1.00324,0.99955,0.98354,0.9946,0.58057,1.21252,0.6529,1.05617,0.000416,0.000416,0.000416
10,1601.04,1.33291,0.73375,0.99183,1,0.98557,0.99488,0.60705,1.19126,0.62469,1.03531,0.000218,0.000218,0.000218
